ID,Pb,Pb_level,Pb_level_cat,Pb +/-,Cu,Cu +/-,Zn,Zn +/-,Ni,Ni +/-,Fe,Fe +/-,Cr,Cr +/-,Mn,Mn +/-,V,V +/-,ID_1,SmokingIndoors,HouseAge,Garden,ExteriorPeeling,InteriorPeeling,Pets,BrickConstruction,RecentRenovation,Housing_1,Housing,HeatingFuel,VacuumFrequency,Response Code,Occupant0_1.LeadExposureOccupation,Occupant0_1.LeadExposureHobby,Hobbies,MainFlooring,VacuumCleanerUsedOutside
AA0001,58,0,Low,4,505,13,1572,21,270,13,19320,170,165,5,507,7,80,4,AA0001,0,92,1,2,0,0,1,1,1929,3,Electricity,Monthly,0=No,0,3,fishing,Tile,0
AA0002,18.3,0,Low,1.3,51,3,457,5,10,3,6660,39,12.5,1.6,147,2,19,1.2,AA0002,0,43,0,1,1,1,1,0,1978,1,Gas,Monthly,1=Yes,0,0,,Wood,0
AA0003,26,0,Low,4,552,15,2029,26,148,12,9919,113,254,6,433,8,55,3,AA0003,0,33,1,2,1,0,1,1,1988,0,Electricity,Weekly,2=Do not know,0,0,,Carpet,1
AA0004,27.7,0,Low,1.9,340,7,804,9,73,5,12704,77,62,2,337,4,39.8,1.8,AA0004,1,22,0,0,0,1,1,0,1999,0,Gas,Weekly,3=Occasionally,1,0,,Carpet,3
AA0396,21.9,0,Low,1.5,92,3,606,6,,,2357,24,9.1,1.7,83,2,11.3,1.1,AA0396,0,166,1,0,0,0,1,1,1855,3,Electricity,Weekly,,0,0,n/a,Wood,0
AA0356,244,1,High,4,88,3,1058,9,27,4,10310,58,23,2,264,4,28.5,1.6,AA0356,0,161,1,1,1,0,0,1,1860,3,Electricity,Weekly,,0,3,shooting,Carpet,0
AA0212,341,1,High,4,132,4,885,8,24,4,12715,70,70,3,252,4,36.7,1.8,AA0212,0,160,1,0,0,1,1,1,1861,3,Electricity,Twice a month,,0,0,,Wood,0
AA0100,66,0,Low,3,110,5,840,10,58,6,13735,90,76,3,310,5,57,2,AA0100,1,151,0,0,0,1,0,0,1870,3,Electricity,Weekly or more,,0,0,,Carpet,0
AA0437,279,1,High,3,116,3,487,5,,,5451,35,91.7,2,113,2,14.9,0.9,AA0437,0,150,1,1,0,0,1,1,1871,3,Gas,Twice a month,,,0,,Wood,0
AA0398,566,1,High,5,201,5,8178,35,26,4,8963,54,56,2,193,3,58.7,1.9,AA0398,0,145,1,0,0,0,0,0,1876,3,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0142,62.4,0,Low,1.9,112,4,914,8,33,4,4756,35,26.1,1.8,147,3,10,1.2,AA0142,0,135,0,0,0,0,1,0,1886,3,Gas,Twice a month,,,0,,Carpet,0
AA0169,15.4,0,Low,1.4,107,3,842,7,15,3,6067,40,23.6,1.6,139,2,14,1,AA0169,0,127,0,2,0,1,0,0,1894,3,Gas,Twice a month,,1,0,,Carpet; Wood,0
AA0276,204,1,High,3,36,2,441,5,18,3,10816,55,38,2,360,4,45.6,1.7,AA0276,0,123,0,1,0,1,1,1,1898,3,Gas,Twice a month,,0,0,n/a,Wood,0
AA0401,55.1,0,Low,1.8,90,3,447,5,20,3,8021,46,40,2,296,4,28.4,1.6,AA0401,0,121,1,0,0,1,0,0,1900,3,Gas,Weekly,,1,0,n/a,Carpet,0
AA0273,210,1,High,3,261,5,1429,10,81,4,8382,47,53,2,200,3,23.9,1.3,AA0273,0,116,0,1,0,0,0,0,1905,3,Electricity,Twice a month,,0,0,n/a,Carpet,0
AA0051,225,1,High,4,63,3,539,7,56,5,31368,140,1128,9,621,7,109,3,AA0051,0,116,1,0,0,1,0,0,1905,3,Gas,Weekly or more,,0,0,,Carpet,1
AA0292,154,1,High,4,95,4,626,8,37,5,18094,106,116,3,294,4,30.3,1.8,AA0292,0,115,0,1,1,1,0,0,1906,3,Gas,Weekly,,0,0,n/a,Carpet,1
AA0013,399,1,High,4,173,4,465,6,21,3,15565,74,35,2,308,4,44.6,1.6,AA0013,1,110,0,0,0,1,0,1,1911,3,Electricity,Weekly,,0,3,fishing,Wood,1
AA0320,208,1,High,3,144,4,2003,11,,,7029,40,28.6,1.9,193,3,29.4,1.4,AA0320,0,109,1,0,1,0,1,0,1912,3,Gas,Twice a month,,0,0,n/a,Wood,3
AA0408,54.3,0,Low,1.9,135,4,1347,10,25,4,10533,57,35.2,2,372,4,27.9,1.5,AA0408,0,106,0,1,1,0,1,0,1915,3,Electricity,Weekly,,0,0,n/a,Wood,0
AA0411,9.9,0,Low,0.8,11,1.3,109.4,1.7,,,1497,12,,,44.9,1.1,,,AA0411,0,105,1,2,0,,0,1,1916,3,Electricity,Twice a month,,0,3,fishing,Wood,1
AA0170,36.6,0,Low,1.9,137,4,1480,12,41,4,12835,73,60,3,209,4,43,1.8,AA0170,0,103,1,0,0,0,0,1,1918,3,Oil,Weekly or more,,0,0,,Wood,0
AA0128,215,1,High,4,102,5,1176,12,41,5,21499,129,69,3,398,5,54,2,AA0128,0,101,0,1,1,0,0,0,1920,3,Electricity,Weekly or more,,0,0,,Wood,1
